INV Size,Gate Width (nm),Height (um),Width (um),Area (um^2),tpdr (ns),tpdf (ns),delay (ns)
1,150,3.62,0.93,3.3666,10.36,6.66,8.51
2,300,3.92,0.93,3.6456,7.788,6.065,6.9265
3,450,4.22,0.93,3.9246,6.401,5.497,5.949
4,600,4.52,0.93,4.2036,5.593,5.181,5.387
5,750,4.82,0.93,4.4826,5.255,4.684,4.9695
6,900,5.12,0.93,4.7616,4.811,4.293,4.552
7,1050,5.42,0.93,5.0406,4.14,4.039,4.0895
8,1200,5.72,0.93,5.3196,3.653,3.846,3.7495
9,1350,6.02,0.93,5.5986,3.288,3.699,3.4935
10,1500,6.32,0.93,5.8776,2.989,3.577,3.283
